id,name,descript,material_smr_pcnt,machine_smr_pcnt,fot_smr_pcnt,nakl_sp_smr_pcnt,active,ordr,created_at,created_by,updated_at,updated_by
1,"Наружная отделка",NULL,38.08,9.25,25.42,27.25,1,10,"2021-01-28 05:02:41",1,"2021-01-28 05:02:41",1
2,Отопление,,87.03,0.44,4.97,7.56,1,20,"2021-01-28 05:04:21",1,"2021-01-28 05:04:21",1
3,"Водопровод и канализация",NULL,80.38,5.87,4.21,9.54,1,30,"2021-01-28 05:25:34",1,"2021-01-28 05:25:34",1
4,"Окна и балконные двери",NULL,92.25,0.66,0.72,6.37,1,40,"2021-01-28 05:26:30",1,"2021-01-28 05:26:30",1
5,Перекрытия,NULL,0.00,0.00,0.00,0.00,1,50,"2021-01-28 05:29:52",1,"2021-01-28 05:29:52",1
6,Электрооборудование,NULL,0.00,0.00,0.00,0.00,1,60,"2021-01-28 05:29:52",1,"2021-01-28 05:29:52",1
7,Вентиляция,NULL,0.00,0.00,0.00,0.00,1,70,"2021-01-28 05:31:19",1,"2021-01-28 05:31:19",1
8,"Отделочные работы (внутренние)",NULL,0.00,0.00,0.00,0.00,1,80,"2021-01-28 05:31:19",1,"2021-01-28 05:31:19",1
9,"Конструкции железобетонные ниже отметки 0.00",NULL,0.00,0.00,0.00,0.00,1,90,"2021-01-28 05:31:19",1,"2021-01-28 05:31:19",1
10,Перегородки,NULL,0.00,0.00,0.00,0.00,1,100,"2021-01-28 05:31:19",1,"2021-01-28 05:31:19",1
11,"Каркас - типовой этаж (3-5 эт)(железобетонные стены, колонны, перекрытия)",NULL,0.00,0.00,0.00,0.00,1,110,"2021-01-28 05:32:33",1,"2021-01-28 05:32:33",1
12,"Стены (железобетон)",NULL,0.00,0.00,0.00,0.00,1,120,"2021-01-28 05:34:07",1,"2021-01-28 05:34:07",1
13,Полы,NULL,0.00,0.00,0.00,0.00,1,130,"2021-01-28 05:34:07",1,"2021-01-28 05:34:07",1
14,Двери,NULL,0.00,0.00,0.00,0.00,1,140,"2021-01-28 05:34:07",1,"2021-01-28 05:34:07",1
15,"Каркас -  1 и 2 этажи (железобетонные стены, колонны, перекрытия)",NULL,0.00,0.00,0.00,0.00,1,150,"2021-01-28 05:34:07",1,"2021-01-28 05:34:07",1
16,Лифты,NULL,0.00,0.00,0.00,0.00,1,160,"2021-01-28 05:34:07",1,"2021-01-28 05:34:07",1
17,"Эксплуатация подъемника",NULL,0.00,0.00,0.00,0.00,1,170,"2021-01-28 05:36:07",1,"2021-01-28 05:36:07",1
18,"Стены внутренние",NULL,0.00,0.00,0.00,0.00,1,180,"2021-01-28 05:36:07",1,"2021-01-28 05:36:07",1
19,"Стены наружные",NULL,0.00,0.00,0.00,0.00,1,190,"2021-01-28 05:36:07",1,"2021-01-28 05:36:07",1
20,Колонны,NULL,0.00,0.00,0.00,0.00,1,200,"2021-01-28 05:36:07",1,"2021-01-28 05:36:07",1
21,ИТП,NULL,0.00,0.00,0.00,0.00,1,210,"2021-01-28 05:36:07",1,"2021-01-28 05:36:07",1
22,"Связь и сигнализация",NULL,0.00,0.00,0.00,0.00,1,220,"2021-01-28 05:36:07",1,"2021-01-28 05:36:07",1
23,"Утепление стен",NULL,0.00,0.00,0.00,0.00,1,230,"2021-01-28 05:36:07",1,"2021-01-28 05:36:07",1
24,Кровля,NULL,0.00,0.00,0.00,0.00,1,240,"2021-01-28 05:36:07",1,"2021-01-28 05:36:07",1
25,"Земляные работы",NULL,0.00,0.00,0.00,0.00,1,250,"2021-01-28 05:36:07",1,"2021-01-28 05:36:07",1
