id,name,dir,no_correction,for_equiprqst,ordr,active,created_at,created_by,updated_at,updated_by
1,"проектное финансирование",1,1,0,1,1,"2021-01-26 06:17:48",1,"2021-01-26 06:17:48",1
2,ДДУ,1,1,0,2,1,"2021-01-26 06:17:48",1,"2021-01-26 06:17:48",1
3,"собственные средства",1,1,0,3,1,"2021-01-26 06:17:48",1,"2021-01-26 06:17:48",1
4,"заемные средства",1,1,0,4,1,"2021-01-26 06:17:48",1,"2021-01-26 06:17:48",1
21,материалы,-1,1,1,5,1,"2021-01-26 06:17:48",1,"2021-01-26 06:17:48",1
22,оборудование,-1,0,0,6,1,"2021-01-26 06:17:48",1,"2021-01-26 06:17:48",1
23,"машины и механизмы",-1,0,0,7,1,"2021-01-26 06:17:48",1,"2021-01-26 06:17:48",1
24,"ФОТ осн. работ",-1,0,0,8,1,"2021-01-26 06:17:48",1,"2021-01-26 06:17:48",1
25,"накладные расходы",-1,0,1,9,1,"2021-01-26 06:17:48",1,"2021-01-26 06:17:48",1
26,"сметная прибыль",-1,0,0,10,1,"2021-01-26 06:17:48",1,"2021-01-26 06:17:48",1
27,"договор. коэфф-т (пониж./повыш.)",-1,0,0,11,1,"2021-01-26 06:17:48",1,"2021-01-26 06:17:48",1
28,налоги,-1,0,0,12,1,"2021-01-26 06:17:48",1,"2021-01-26 06:17:48",1
29,"материалы подрядчика",-1,0,1,5,1,"2021-01-26 06:17:48",1,"2021-01-26 06:17:48",1
30,"оборудование подрядчика",-1,0,0,6,1,"2021-01-26 06:17:48",1,"2021-01-26 06:17:48",1
31,генподрядные,-1,0,0,13,1,"2021-01-26 06:17:48",1,"2021-01-26 06:17:48",1
32,подрядные,-1,0,1,14,1,"2021-01-26 06:17:48",1,"2021-01-26 06:17:48",1
33,"проект. финансирование (ВНБ)",1,0,0,1,1,"2021-01-26 06:17:48",1,"2021-01-26 06:17:48",1
34,"материалы (ВНБ)",-1,0,1,5,1,"2021-01-26 06:17:48",1,"2021-01-26 06:17:48",1
35,"проектная документация",-1,0,0,5,1,"2020-11-29 02:16:01",1,"2020-11-29 02:16:01",1
36,"накладные расходы и прибыль",-1,0,1,9,1,"2021-02-03 00:58:28",1,"2021-02-03 00:58:28",1
