id,name,dir,ordr,active,created_at,created_by,updated_at,updated_by
1,"проектное финансирование",1,1,1,"2020-08-12 00:16:19",1,"2020-08-12 00:16:19",1
2,ДДУ,1,2,1,"2020-08-12 00:16:19",1,"2020-08-12 00:16:19",1
3,"собственные средства",1,3,1,"2020-08-12 00:16:19",1,"2020-08-12 00:16:19",1
4,"заемные средства",1,4,1,"2020-08-12 00:16:19",1,"2020-08-12 00:16:19",1
11,материалы,-1,5,1,"2020-08-12 00:16:19",1,"2020-08-12 00:16:19",1
12,оборудование,-1,6,1,"2020-08-12 00:16:19",1,"2020-08-12 00:16:19",1
16,"машины и механизмы",-1,7,1,"2020-08-12 00:16:19",1,"2020-08-12 00:16:19",1
17,"ФОТ осн. работ",-1,8,1,"2020-08-12 00:16:19",1,"2020-08-12 00:16:19",1
18,"накладные расходы",-1,9,1,"2020-08-12 00:16:19",1,"2020-08-12 00:16:19",1
19,"сметная прибыль",-1,10,1,"2020-08-12 00:30:52",1,"2020-08-12 00:30:52",1
20,"договор. коэфф-т (пониж./повыш.)",-1,11,1,"2020-08-12 00:16:19",1,"2020-08-12 00:16:19",1
21,налоги,-1,12,1,"2020-08-12 00:16:19",1,"2020-08-12 00:16:19",1
