id,budgetid,parid,refitmid,name,estdocsum,itmtypeid,itmsum,active,ordr,created_at,created_by,updated_at,updated_by
1,1,NULL,NULL,"Шпунтовая стенка",NULL,NULL,-234001.00,1,10,"2020-08-12 05:00:22",1,"2020-08-12 05:00:22",1
2,1,NULL,NULL,"Разработка грунта",NULL,NULL,62000.00,1,20,"2020-08-12 05:00:22",1,"2020-08-12 05:00:22",12
3,1,NULL,NULL,"Устройство каркаса здания ( монолитные работы)",NULL,NULL,NULL,1,30,"2020-08-12 05:00:22",1,"2020-08-12 05:00:22",1
4,1,NULL,NULL,"Обратная засыпка",NULL,NULL,NULL,1,40,"2020-08-12 05:00:22",1,"2020-08-12 05:00:22",1
5,1,NULL,NULL,гидроизоляция,NULL,NULL,NULL,1,50,"2020-08-12 05:00:22",1,"2020-08-12 05:00:22",1
6,1,NULL,NULL,"Деформационные швы",NULL,NULL,NULL,1,60,"2020-08-12 05:00:22",1,"2020-08-12 05:00:22",1
7,1,NULL,NULL,"Вынос сети водоснабжения",NULL,NULL,NULL,1,70,"2020-08-12 05:00:22",1,"2020-08-12 05:00:22",1
8,1,NULL,NULL,"Вынос ливневки",NULL,NULL,NULL,1,80,"2020-08-12 05:00:22",1,"2020-08-12 05:00:22",1
101,1,NULL,NULL,"Вынос тепловой сети",NULL,NULL,NULL,1,90,"2020-08-12 05:00:22",1,"2020-08-12 05:00:22",1
102,1,NULL,NULL,"Пристенный дренаж",NULL,NULL,NULL,1,100,"2020-08-12 05:00:22",1,"2020-08-12 05:00:22",1
103,1,NULL,NULL,"Вынос электросетей",NULL,NULL,NULL,1,110,"2020-08-12 05:00:22",1,"2020-08-12 05:00:22",1
104,1,NULL,NULL,"Устройство стен и перегородок",NULL,NULL,NULL,1,120,"2020-08-12 05:00:22",1,"2020-08-12 05:00:22",1
105,1,NULL,NULL,Фасад,NULL,NULL,NULL,1,130,"2020-08-12 05:00:22",1,"2020-08-12 05:00:22",1
106,1,NULL,NULL,"Устройство пластиковых окон и дверей балконов",NULL,NULL,NULL,1,140,"2020-08-12 05:00:22",1,"2020-08-12 05:00:22",1
107,1,NULL,NULL,Витражи,NULL,NULL,NULL,1,150,"2020-08-12 05:00:22",1,"2020-08-12 05:00:22",1
108,1,NULL,NULL,Отопление,78972699.00,NULL,6.00,1,370,"2020-08-12 05:00:22",1,"2020-08-12 05:00:22",12
109,1,NULL,NULL,ИТП,NULL,NULL,NULL,1,170,"2020-08-12 05:00:22",1,"2020-08-12 05:00:22",1
110,1,NULL,NULL,"Внутридомовое водоснабжение ХВС, ГВС и канализация",37528234.00,NULL,-34.00,1,400,"2020-08-12 05:00:22",1,"2020-08-12 05:00:22",12
111,1,NULL,NULL,"Автоматическое пожаротушение",NULL,NULL,NULL,1,190,"2020-08-12 05:00:22",1,"2020-08-12 05:00:22",1
112,1,NULL,NULL,"Система электроснабжения, заземление и молниезащита",NULL,NULL,NULL,1,200,"2020-08-12 05:00:22",1,"2020-08-12 05:00:22",1
113,1,NULL,NULL,"Пожарная сигнализация",NULL,NULL,NULL,1,210,"2020-08-12 05:00:22",1,"2020-08-12 05:00:22",1
114,1,NULL,NULL,"Монтаж лифтов",NULL,NULL,NULL,1,220,"2020-08-12 05:00:22",1,"2020-08-12 05:00:22",1
115,1,NULL,NULL,"Устройство въездных ворот и дверей МОПов",NULL,NULL,NULL,1,230,"2020-08-12 05:00:22",1,"2020-08-12 05:00:22",1
116,1,NULL,NULL,"Ограждения балконов",NULL,NULL,NULL,1,240,"2020-08-12 05:00:22",1,"2020-08-12 05:00:22",1
117,1,NULL,NULL,"Отделка МОПов ( стяжка, полы, потолски, стены)",NULL,NULL,NULL,1,250,"2020-08-12 05:00:22",1,"2020-08-12 05:00:22",1
118,1,NULL,NULL,"Устройство кровель с учётом эксплуатируемой",NULL,NULL,NULL,1,260,"2020-08-12 05:00:22",1,"2020-08-12 05:00:22",1
119,1,NULL,NULL,"Вентиляция кондиционирование и дымоудаление",NULL,NULL,NULL,1,270,"2020-08-12 05:00:22",1,"2020-08-12 05:00:22",1
120,1,NULL,NULL,"Благоустройство придомовых террриторий",NULL,NULL,NULL,1,280,"2020-08-12 05:00:22",1,"2020-08-12 05:00:22",1
121,1,NULL,NULL,"Внутриплощадочные сети водоснабжения",NULL,NULL,NULL,1,290,"2020-08-12 05:00:22",1,"2020-08-12 05:00:22",1
122,1,NULL,NULL,"Внутриплощадочные сети канализации",NULL,NULL,NULL,1,300,"2020-08-12 05:00:22",1,"2020-08-12 05:00:22",1
123,1,NULL,NULL,"Наружные тепловые сети",NULL,NULL,NULL,1,310,"2020-08-12 05:00:22",1,"2020-08-12 05:00:22",1
124,1,NULL,NULL,"Наружная ливневая канализация",NULL,NULL,NULL,1,320,"2020-08-12 05:00:22",1,"2020-08-12 05:00:22",1
125,1,NULL,NULL,"Вынос ливневой канализации",NULL,NULL,NULL,1,330,"2020-08-12 05:00:22",1,"2020-08-12 05:00:22",1
126,1,NULL,NULL,"Вынос ЛЭП",NULL,NULL,NULL,1,340,"2020-08-12 05:00:22",1,"2020-08-12 05:00:22",1
127,1,1,NULL,-,NULL,1,995000.00,1,10,"2020-08-12 05:00:22",1,"2020-08-12 05:00:22",1
128,1,1,NULL,-,NULL,16,0.00,1,20,"2020-08-12 05:00:22",12,"2020-08-12 05:00:22",12
130,1,2,NULL,-,NULL,1,2000.00,1,30,"2020-08-12 05:00:22",12,"2020-08-12 05:00:22",12
131,1,2,NULL,-,NULL,7,60000.00,1,0,"2020-08-12 05:00:22",12,"2020-08-12 05:00:22",12
132,1,1,NULL,-,NULL,3,999.00,1,0,"2020-08-12 05:00:22",12,"2020-08-12 05:00:22",12
133,1,1,NULL,-,NULL,11,1230000.00,1,0,"2020-08-12 05:00:22",12,"2020-08-12 05:00:22",12
134,1,110,NULL,-,NULL,1,37528200.00,1,0,"2020-08-12 05:00:22",12,"2020-08-12 05:00:22",12
135,1,110,NULL,-,NULL,11,17975900.00,1,0,"2020-08-12 05:00:22",12,"2020-08-12 05:00:22",12
136,1,110,NULL,-,NULL,12,1574420.00,1,0,"2020-08-12 05:00:22",12,"2020-08-12 05:00:22",12
137,1,110,NULL,-,NULL,16,276097.00,1,0,"2020-08-12 05:00:22",12,"2020-08-12 05:00:22",12
138,1,110,NULL,-,NULL,18,5801126.00,1,0,"2020-08-12 05:00:22",12,"2020-08-12 05:00:22",12
139,1,110,NULL,-,NULL,17,7179635.00,1,0,"2020-08-12 05:00:22",12,"2020-08-12 05:00:22",12
140,1,110,NULL,-,NULL,19,4721056.00,1,0,"2020-08-12 05:00:22",12,"2020-08-12 05:00:22",12
141,1,108,NULL,-,NULL,1,78972700.00,1,0,"2020-08-12 05:00:22",12,"2020-08-12 05:00:22",12
142,1,108,NULL,-,NULL,11,54188342.00,1,0,"2020-08-12 05:00:22",12,"2020-08-12 05:00:22",12
143,1,108,NULL,-,NULL,16,818657.00,1,0,"2020-08-12 05:00:22",12,"2020-08-12 05:00:22",12
144,1,108,NULL,-,NULL,17,8125231.00,1,0,"2020-08-12 05:00:22",12,"2020-08-12 05:00:22",12
145,1,108,NULL,-,NULL,18,9474428.00,1,0,"2020-08-12 05:00:22",12,"2020-08-12 05:00:22",12
146,1,108,NULL,-,NULL,19,6362423.00,1,0,"2020-08-12 05:00:22",12,"2020-08-12 05:00:22",12
147,1,108,NULL,-,NULL,20,3613.00,1,0,"2020-08-12 05:00:22",12,"2020-08-12 05:00:22",12
148,2,NULL,NULL,Отопление,78972694.00,NULL,3613.00,1,10,"2020-08-12 05:39:04",12,"2020-08-12 05:52:56",12
149,2,148,NULL,-,NULL,1,78972694.00,1,0,"2020-08-12 05:39:13",12,"2020-08-12 05:39:30",12
150,2,148,NULL,-,NULL,11,54188342.00,1,0,"2020-08-12 05:50:24",12,"2020-08-12 05:50:40",12
151,2,148,NULL,-,NULL,16,818657.00,1,0,"2020-08-12 05:50:57",12,"2020-08-12 05:51:13",12
152,2,148,NULL,-,NULL,17,8125231.00,1,0,"2020-08-12 05:51:27",12,"2020-08-12 05:51:51",12
153,2,148,NULL,-,NULL,18,9474428.00,1,0,"2020-08-12 05:52:06",12,"2020-08-12 05:52:23",12
154,2,148,NULL,-,NULL,19,6362423.00,1,0,"2020-08-12 05:52:40",12,"2020-08-12 05:52:56",12
155,2,NULL,NULL,ВК,37528234.00,NULL,0.00,1,20,"2020-08-12 05:55:50",12,"2020-08-12 06:14:44",12
156,2,155,NULL,-,NULL,1,37528234.00,1,0,"2020-08-12 05:56:32",12,"2020-08-12 05:56:59",12
157,2,155,NULL,-,NULL,11,17975900.00,1,0,"2020-08-12 06:04:33",12,"2020-08-12 06:04:51",12
158,2,155,NULL,-,NULL,12,1574420.00,1,0,"2020-08-12 06:05:15",12,"2020-08-12 06:05:32",12
159,2,155,NULL,-,NULL,16,276097.00,1,0,"2020-08-12 06:12:50",12,"2020-08-12 06:13:11",12
160,2,155,NULL,-,NULL,17,5801126.00,1,0,"2020-08-12 06:13:28",12,"2020-08-12 06:13:44",12
161,2,155,NULL,-,NULL,18,7179635.00,1,0,"2020-08-12 06:13:55",12,"2020-08-12 06:14:14",12
162,2,155,NULL,-,NULL,19,4721056.00,1,0,"2020-08-12 06:14:28",12,"2020-08-12 06:14:44",12
