id,itmid,operdate,dir,opersum,reason,rsn_sysobjid,rsn_objid,active,created_at,created_by,updated_at,updated_by
1,127,2020-08-08,1,1000000.00,"начальный остаток",NULL,NULL,1,"2020-08-12 05:00:23",1,"2020-08-12 05:00:23",1
2,127,2020-08-09,-1,5000.00,"заявка 1",NULL,NULL,1,"2020-08-12 05:00:23",1,"2020-08-12 05:00:23",12
3,130,2020-08-11,1,1000.00,"нач. остаток",NULL,NULL,1,"2020-08-12 05:00:23",12,"2020-08-12 05:00:23",12
4,130,2020-08-11,1,100000.00,"доп. финансирование",NULL,NULL,1,"2020-08-12 05:00:23",12,"2020-08-12 05:00:23",12
5,130,2020-08-11,-1,99000.00,ввв,NULL,NULL,1,"2020-08-12 05:00:23",12,"2020-08-12 05:00:23",12
6,131,2020-08-01,1,60000.00,"нач. остаток",NULL,NULL,1,"2020-08-12 05:00:23",12,"2020-08-12 05:00:23",12
7,134,2020-08-01,1,37528200.00,план,NULL,NULL,1,"2020-08-12 05:00:23",12,"2020-08-12 05:00:23",12
8,135,2020-08-12,1,17975900.00,"нач. остаток",NULL,NULL,1,"2020-08-12 05:00:23",12,"2020-08-12 05:00:23",12
9,136,2020-08-12,1,1574420.00,"нач. остаток",NULL,NULL,1,"2020-08-12 05:00:23",12,"2020-08-12 05:00:23",12
10,137,2020-08-12,1,276097.00,"нач. остаток",NULL,NULL,1,"2020-08-12 05:00:23",12,"2020-08-12 05:00:23",12
11,138,2020-08-12,1,5801126.00,"нач. остаток",NULL,NULL,1,"2020-08-12 05:00:23",12,"2020-08-12 05:00:23",12
12,139,2020-08-12,1,7179635.00,"нач. остаток",NULL,NULL,1,"2020-08-12 05:00:23",12,"2020-08-12 05:00:23",12
13,140,2020-08-12,1,4721056.00,"нач. остаток",NULL,NULL,1,"2020-08-12 05:00:23",12,"2020-08-12 05:00:23",12
14,141,2020-08-12,1,78972700.00,"нач. остаток",NULL,NULL,1,"2020-08-12 05:00:23",12,"2020-08-12 05:00:23",12
15,142,2020-08-12,1,54188342.00,"нач. остаток",NULL,NULL,1,"2020-08-12 05:00:23",12,"2020-08-12 05:00:23",12
16,143,2020-08-12,1,818657.00,"нач. остаток",NULL,NULL,1,"2020-08-12 05:00:23",12,"2020-08-12 05:00:23",12
17,144,2020-08-12,1,8125231.00,"нач. остаток",NULL,NULL,1,"2020-08-12 05:00:23",12,"2020-08-12 05:00:23",12
18,145,2020-08-12,1,9474428.00,"нач. остаток",NULL,NULL,1,"2020-08-12 05:00:23",12,"2020-08-12 05:00:23",12
19,146,2020-08-12,1,6362423.00,"нач. остаток",NULL,NULL,1,"2020-08-12 05:00:23",12,"2020-08-12 05:00:23",12
20,147,2020-08-12,1,3613.00,"нач. остаток",NULL,NULL,1,"2020-08-12 05:00:23",12,"2020-08-12 05:00:23",12
21,149,2020-08-12,1,78972694.00,"нач. остаток",NULL,NULL,1,"2020-08-12 05:39:30",12,"2020-08-12 05:39:30",12
22,150,2020-08-12,1,54188342.00,"нач. остаток",NULL,NULL,1,"2020-08-12 05:50:40",12,"2020-08-12 05:50:40",12
23,151,2020-08-12,1,818657.00,"нач. остаток",NULL,NULL,1,"2020-08-12 05:51:13",12,"2020-08-12 05:51:13",12
24,152,2020-08-12,1,8125231.00,"нач. остаток",NULL,NULL,1,"2020-08-12 05:51:51",12,"2020-08-12 05:51:51",12
25,153,2020-08-12,1,9474428.00,"нач. остаток",NULL,NULL,1,"2020-08-12 05:52:23",12,"2020-08-12 05:52:23",12
26,154,2020-08-12,1,6362423.00,"нач. остаток",NULL,NULL,1,"2020-08-12 05:52:56",12,"2020-08-12 05:52:56",12
27,156,2020-08-12,1,37528234.00,"нач. остаток",NULL,NULL,1,"2020-08-12 05:56:59",12,"2020-08-12 05:56:59",12
28,157,2020-08-12,1,17975900.00,-,NULL,NULL,1,"2020-08-12 06:04:51",12,"2020-08-12 06:04:51",12
29,158,2020-08-12,1,1574420.00,-,NULL,NULL,1,"2020-08-12 06:05:32",12,"2020-08-12 06:05:32",12
30,159,2020-08-12,1,276097.00,"нач. остаток",NULL,NULL,1,"2020-08-12 06:13:11",12,"2020-08-12 06:13:11",12
31,160,2020-08-12,1,5801126.00,-,NULL,NULL,1,"2020-08-12 06:13:44",12,"2020-08-12 06:13:44",12
32,161,2020-08-12,1,7179635.00,-,NULL,NULL,1,"2020-08-12 06:14:14",12,"2020-08-12 06:14:14",12
33,162,2020-08-12,1,4721056.00,-,NULL,NULL,1,"2020-08-12 06:14:44",12,"2020-08-12 06:14:44",12
