id,buildobjid,parid,name,descript,ordr,optimal_beg_md,optimal_end_md,active,created_at,created_by,updated_at,updated_by
1,1,NULL,"Шпунтовая стенка",NULL,NULL,04.01,11.15,1,"2020-06-18 23:42:37",1,"2020-06-18 23:42:37",1
2,1,NULL,"Разработка грунта",NULL,NULL,NULL,NULL,1,"2020-06-18 23:42:37",1,"2020-06-18 23:42:37",1
3,1,NULL,"Устройство каркаса здания ( монолитные работы)",NULL,NULL,NULL,NULL,1,"2020-06-18 23:42:37",1,"2020-06-18 23:42:37",1
4,1,NULL,"Обратная засыпка",NULL,NULL,NULL,NULL,1,"2020-06-18 23:42:37",1,"2020-06-18 23:42:37",1
5,1,NULL,гидроизоляция,NULL,NULL,NULL,NULL,1,"2020-06-18 23:42:37",1,"2020-06-18 23:42:37",1
6,1,NULL,"Деформационные швы",NULL,NULL,NULL,NULL,1,"2020-06-18 23:42:37",1,"2020-06-18 23:42:37",1
7,1,NULL,"Вынос сети водоснабжения",NULL,NULL,NULL,NULL,1,"2020-06-18 23:42:37",1,"2020-06-18 23:42:37",1
8,1,NULL,"Вынос ливневки",NULL,NULL,NULL,NULL,1,"2020-06-18 23:42:37",1,"2020-06-18 23:42:37",1
101,1,NULL,"Вынос тепловой сети",NULL,NULL,NULL,NULL,1,"2020-06-18 23:42:37",1,"2020-06-18 23:42:37",1
102,1,NULL,"Пристенный дренаж",NULL,NULL,NULL,NULL,1,"2020-06-18 23:42:37",1,"2020-06-18 23:42:37",1
103,1,NULL,"Вынос электросетей",NULL,NULL,NULL,NULL,1,"2020-06-18 23:42:37",1,"2020-06-18 23:42:37",1
104,1,NULL,"Устройство стен и перегородок",NULL,NULL,NULL,NULL,1,"2020-06-18 23:42:37",1,"2020-06-18 23:42:37",1
105,1,NULL,Фасад,NULL,NULL,NULL,NULL,1,"2020-06-18 23:42:37",1,"2020-06-18 23:42:37",1
106,1,NULL,"Устройство пластиковых окон и дверей балконов",NULL,NULL,NULL,NULL,1,"2020-06-18 23:42:37",1,"2020-06-18 23:42:37",1
107,1,NULL,Витражи,NULL,NULL,NULL,NULL,1,"2020-06-18 23:42:37",1,"2020-06-18 23:42:37",1
108,1,NULL,Отопление,NULL,NULL,NULL,NULL,1,"2020-06-18 23:42:37",1,"2020-06-18 23:42:37",1
109,1,NULL,ИТП,NULL,NULL,NULL,NULL,1,"2020-06-18 23:42:37",1,"2020-06-18 23:42:37",1
110,1,NULL,"Внутридомовое водоснабжение ХВС, ГВС и канализация",NULL,NULL,NULL,NULL,1,"2020-06-18 23:42:37",1,"2020-06-18 23:42:37",1
111,1,NULL,"Автоматическое пожаротушение",NULL,NULL,NULL,NULL,1,"2020-06-18 23:42:37",1,"2020-06-18 23:42:37",1
112,1,NULL,"Система электроснабжения, заземление и молниезащита",NULL,NULL,NULL,NULL,1,"2020-06-18 23:42:37",1,"2020-06-18 23:42:37",1
113,1,NULL,"Пожарная сигнализация",NULL,NULL,NULL,NULL,1,"2020-06-18 23:42:37",1,"2020-06-18 23:42:37",1
114,1,NULL,"Монтаж лифтов",NULL,NULL,NULL,NULL,1,"2020-06-18 23:42:37",1,"2020-06-18 23:42:37",1
115,1,NULL,"Устройство въездных ворот и дверей МОПов",NULL,NULL,NULL,NULL,1,"2020-06-18 23:42:37",1,"2020-06-18 23:42:37",1
116,1,NULL,"Ограждения балконов",NULL,NULL,NULL,NULL,1,"2020-06-18 23:42:37",1,"2020-06-18 23:42:37",1
117,1,NULL,"Отделка МОПов ( стяжка, полы, потолски, стены)",NULL,NULL,NULL,NULL,1,"2020-06-18 23:42:37",1,"2020-06-18 23:42:37",1
118,1,NULL,"Устройство кровель с учётом эксплуатируемой",NULL,NULL,NULL,NULL,1,"2020-06-18 23:42:37",1,"2020-06-18 23:42:37",1
119,1,NULL,"Вентиляция кондиционирование и дымоудаление",NULL,NULL,NULL,NULL,1,"2020-06-18 23:42:37",1,"2020-06-18 23:42:37",1
120,1,NULL,"Благоустройство придомовых террриторий",NULL,NULL,NULL,NULL,1,"2020-06-18 23:42:37",1,"2020-06-18 23:42:37",1
121,1,NULL,"Внутриплощадочные сети водоснабжения",NULL,NULL,NULL,NULL,1,"2020-06-18 23:42:37",1,"2020-06-18 23:42:37",1
122,1,NULL,"Внутриплощадочные сети канализации",NULL,NULL,NULL,NULL,1,"2020-06-18 23:42:37",1,"2020-06-18 23:42:37",1
123,1,NULL,"Наружные тепловые сети",NULL,NULL,NULL,NULL,1,"2020-06-18 23:42:37",1,"2020-06-18 23:42:37",1
124,1,NULL,"Наружная ливневая канализация",NULL,NULL,NULL,NULL,1,"2020-06-18 23:42:37",1,"2020-06-18 23:42:37",1
125,1,NULL,"Вынос ливневой канализации",NULL,NULL,NULL,NULL,1,"2020-06-18 23:42:37",1,"2020-06-18 23:42:37",1
126,1,NULL,"Вынос ЛЭП",NULL,NULL,NULL,NULL,1,"2020-06-18 23:42:37",1,"2020-06-18 23:42:37",1
127,2,NULL,"Разработка грунта",NULL,1,NULL,NULL,1,"2020-06-19 01:21:58",1,"2020-06-19 01:21:58",1
128,2,NULL,Монтаж,NULL,3,NULL,NULL,1,"2020-06-19 01:21:58",1,"2020-06-19 01:21:58",1
129,2,NULL,"Обратная засыпка",NULL,4,NULL,NULL,1,"2020-06-19 01:21:58",1,"2020-06-19 01:21:58",1
130,2,NULL,Демонтаж,NULL,2,NULL,NULL,1,"2020-06-19 01:25:20",1,"2020-06-19 01:25:20",1
