id,dir,name,descript,active,ordr,use_price,created_at,created_by,updated_at,updated_by
11,1,"Заработная плата",NULL,1,1,0,"2023-03-08 22:55:03",1,"2023-03-09 00:10:51",12
12,1,"Поощрения сотрудника",NULL,1,2,0,"2023-03-08 22:57:11",1,"2023-03-08 22:57:11",1
13,1,"Выплата по контракту
",NULL,1,3,0,"2023-03-08 22:57:11",1,"2023-03-08 22:57:11",1
41,-1,"Проживание в общежитии",NULL,1,4,0,"2023-03-08 22:55:03",1,"2023-03-08 22:55:03",1
42,-1,"Штрафы ремонт",NULL,1,8,0,"2023-03-08 22:55:03",1,"2023-03-08 22:55:03",1
43,-1,"Штрафы ПДД",NULL,1,7,0,"2023-03-08 22:55:03",1,"2023-03-08 22:55:03",1
44,-1,"Нарушение инструкции",NULL,1,4,0,"2023-03-08 22:57:11",1,"2023-03-08 22:57:11",1
45,-1,Опоздание,NULL,1,3,0,"2023-03-08 22:57:11",1,"2023-03-08 22:57:11",1
46,-1,"Штраф за планар ",NULL,1,5,0,"2023-03-08 22:57:11",1,"2023-03-08 22:57:11",1
47,-1,"Корпоративная связь",NULL,1,6,0,"2023-03-08 22:57:11",1,"2023-03-08 22:57:11",1
48,-1,"Иные удержания",NULL,1,99,0,"2023-03-08 22:57:11",1,"2023-03-08 22:57:11",1
49,-1,Авансы,NULL,1,1,0,"2023-03-18 15:12:54",1,"2023-03-18 15:12:54",1
50,-1,"Авансы офиц.",NULL,1,2,0,"2023-03-18 15:12:54",1,"2023-03-18 15:12:54",1
51,-1,Долги,NULL,1,9,0,"2023-03-18 15:12:54",1,"2023-03-18 15:12:54",1
52,1,"Премия по показателям",NULL,1,2,1,"2023-10-22 05:52:05",1,"2023-10-22 05:52:05",1
