id,contracttypeid,name,descript,party,ordr,active,created_at,created_by,updated_at,updated_by
1,1,Арендодатель,NULL,1,1,1,"2020-09-16 23:28:45",1,"2020-09-16 23:28:45",1
2,1,Арендатор,NULL,2,2,1,"2020-09-16 23:28:45",1,"2020-09-16 23:28:45",1
3,2,Исполнитель,NULL,1,9999,1,"2020-09-16 23:28:45",1,"2020-09-16 23:28:45",1
4,2,Заказчик,NULL,2,9999,1,"2020-09-16 23:28:45",1,"2020-09-16 23:28:45",1
5,3,Заказчик,NULL,1,9999,1,"2020-09-16 23:28:45",1,"2020-09-16 23:28:45",1
6,3,Исполнитель,NULL,2,9999,1,"2020-09-16 23:28:45",1,"2020-09-16 23:28:45",1
7,4,Заказчик,NULL,1,9999,1,"2020-09-16 23:28:45",1,"2020-09-16 23:28:45",1
8,4,Исполнитель,NULL,2,9999,1,"2020-09-16 23:28:45",1,"2020-09-16 23:28:45",1
9,5,Заказчик,NULL,1,9999,1,"2020-09-16 23:28:45",1,"2020-09-16 23:28:45",1
10,5,Исполнитель,NULL,2,9999,1,"2020-09-16 23:28:45",1,"2020-09-16 23:28:45",1
11,6,Заказчик,NULL,1,9999,1,"2020-09-16 23:28:45",1,"2020-09-16 23:28:45",1
12,6,Исполнитель,NULL,2,9999,1,"2020-09-16 23:28:45",1,"2020-09-16 23:28:45",1
13,7,Заказчик,NULL,1,9999,1,"2020-09-16 23:28:45",1,"2020-09-16 23:28:45",1
14,7,Генподрядчик,NULL,2,9999,1,"2020-09-16 23:28:45",1,"2020-09-16 23:28:45",1
15,8,Займодавец,NULL,1,9999,1,"2020-09-16 23:28:45",1,"2020-09-16 23:28:45",1
16,8,Заемщик,NULL,2,9999,1,"2020-09-16 23:28:45",1,"2020-09-16 23:28:45",1
17,9,Заказчик,NULL,1,9999,1,"2020-09-18 01:00:54",1,"2020-09-18 01:00:54",1
18,9,Исполнитель,NULL,2,9999,1,"2020-09-18 01:00:54",1,"2020-09-18 01:00:54",1
