id,name,descript,active,created_at,created_by,updated_at,updated_by
1,"аренда спецтехники",NULL,1,"2020-12-11 08:10:41",1,"2020-12-11 08:10:41",1
2,"с заказчиком",NULL,1,"2020-12-11 08:10:41",1,"2020-12-11 08:10:41",1
3,"с подрядчиком",NULL,1,"2020-12-11 08:10:41",1,"2020-12-11 08:10:41",1
4,"с поставщиком",NULL,1,"2020-12-11 08:10:41",1,"2020-12-11 08:10:41",1
5,"на работу",NULL,1,"2020-12-11 08:10:41",1,"2020-12-11 08:10:41",1
6,"перевозка грузов автотранспортом",NULL,1,"2020-12-11 08:10:41",1,"2020-12-11 08:10:41",1
7,"с генподрядчиком",NULL,1,"2020-12-11 08:10:36",1,"2020-12-11 08:10:36",1
8,заём,NULL,1,"2020-12-11 08:10:36",1,"2020-12-11 08:10:36",1
9,"оказание услуг",NULL,1,"2020-12-11 08:10:36",1,"2020-12-11 08:10:36",1
10,"договор залога в обеспечение кредитной линии",NULL,1,"2020-12-13 23:07:40",1,"2020-12-13 23:07:40",1
999,прочие,NULL,1,"2020-12-13 23:18:55",1,"2020-12-13 23:18:55",1
