id,code,name,descript,active,created_at,created_by,updated_at,updated_by
1,vkontakte,ВКонтакте,NULL,1,"2021-10-26 23:43:46",1,"2021-10-26 23:43:46",1
2,github,GitHub,NULL,1,"2021-10-26 23:43:46",1,"2021-10-26 23:43:46",1
3,bitbucket,BitBucket,NULL,1,"2021-10-26 23:43:46",1,"2021-10-26 23:43:46",1
4,google,Google,NULL,1,"2021-10-26 23:43:46",1,"2021-10-26 23:43:46",1
5,1С_8,"1С Бухглатерия",NULL,1,"2021-10-26 23:43:46",1,"2021-10-26 23:43:46",1
6,GrandSmeta,Гранд-Смета,NULL,1,"2021-10-26 23:43:46",1,"2021-10-26 23:43:46",1
9,aliases,"Вариации названий",NULL,1,"2021-11-30 01:05:52",1,"2021-11-30 01:05:52",1
101,Либерти,"ИС ООО Либерти",NULL,1,"2021-10-26 23:43:46",1,"2021-10-26 23:43:46",1
102,МПК,"ИС ООО МПК",NULL,1,"2021-10-26 23:43:46",1,"2021-10-26 23:43:46",1
103,ТДЦС,"ИС Торговый Дом Центр Снабжения",NULL,1,"2021-10-26 23:43:46",1,"2021-10-26 23:43:46",1
104,pnp.aoil.ru,"ЛК Приморнефтепродукт (pnp.aoil.ru)",NULL,1,"2021-10-26 23:43:46",1,"2021-10-26 23:43:46",1
105,b2blk.megafon.ru,"Мегафон (корпоративный ЛК)",NULL,1,"2021-10-26 23:43:46",1,"2021-10-26 23:43:46",1
