id,code,name,remarks,forsysobjid,active,uservisible,clientvisible,css_style,created_at,created_by,updated_at,updated_by
1,NULL,"заказ размещен клиентом",NULL,NULL,1,1,1,NULL,"2025-06-11 23:21:51",0,"2025-06-11 23:21:51",0
2,NULL,"заказ отозван клиентом",NULL,NULL,1,1,1,NULL,"2025-06-11 23:21:51",0,"2025-06-11 23:21:51",0
3,NULL,"заказ обрабатывается менеджером",NULL,NULL,1,1,1,"background-color: #dffba0","2025-06-11 23:21:51",0,"2025-06-11 23:21:51",0
4,NULL,"менеджер приостановил работу с заказом",NULL,NULL,1,1,1,NULL,"2025-06-11 23:21:51",0,"2025-06-11 23:21:51",0
5,NULL,"заказ сформирован",NULL,NULL,1,1,1,"background-color: #CCECF9","2025-06-11 23:21:51",0,"2025-06-11 23:21:51",0
6,NULL,"заказ отгружен со склада",NULL,NULL,1,1,1,NULL,"2025-06-11 23:21:51",0,"2025-06-11 23:21:51",0
7,NULL,"заказ доставлен клиенту",NULL,NULL,1,1,1,NULL,"2025-06-11 23:21:51",0,"2025-06-11 23:21:51",0
8,NULL,"заказ оплачен клиентом",NULL,NULL,1,1,1,NULL,"2025-06-11 23:21:51",0,"2025-06-11 23:21:51",0
9,NULL,"Постоянный клиент",NULL,111,0,1,0,NULL,"2025-06-11 23:21:51",0,"2025-06-11 23:21:51",0
11,NULL,"заказ возвращен в работу",NULL,NULL,1,1,1,NULL,"2025-06-11 23:21:51",1,"2025-06-11 23:21:51",1
12,owner,"Входит в ГК",NULL,111,1,0,0,NULL,"2025-06-11 23:21:51",1,"2025-06-11 23:21:51",1
13,supplier,Поставщик,NULL,111,1,1,1,NULL,"2025-06-11 23:21:51",1,"2025-06-11 23:21:51",1
14,carrier,Перевозчик,NULL,111,1,1,0,NULL,"2025-06-11 23:21:51",1,"2025-06-11 23:21:51",1
15,driver_org,"Перевозка грузов автотранспортом",NULL,111,1,1,0,NULL,"2025-06-11 23:21:51",1,"2025-06-11 23:21:51",1
16,NULL,"клиент без предварительной оплаты (БПО)",NULL,111,0,1,0,NULL,"2025-06-11 23:21:51",1,"2025-06-11 23:21:51",1
17,NULL,Грузоотправитель,NULL,111,1,1,1,NULL,"2025-06-11 23:21:51",1,"2025-06-11 23:21:51",1
21,NULL,"изменены данные (характеристики) товаров",NULL,NULL,1,1,1,NULL,"2025-06-11 23:21:51",1,"2025-06-11 23:21:51",1
22,NULL,"изменены условия скидок для клиента",NULL,NULL,1,1,1,NULL,"2025-06-11 23:21:51",1,"2025-06-11 23:21:51",1
27,NULL,"рассчитаны скидки для клиента",NULL,NULL,1,1,1,NULL,"2025-06-11 23:21:51",1,"2025-06-11 23:21:51",1
37,NULL,"рассчитан факт выполнения плана продаж",NULL,NULL,1,1,1,NULL,"2025-06-11 23:21:51",1,"2025-06-11 23:21:51",1
51,neworders.exported,"Экспортированы новые заказы",NULL,NULL,1,1,1,NULL,"2025-06-11 23:21:51",1,"2025-06-11 23:21:51",1
141,NULL,Транспорт,NULL,111,1,1,1,NULL,"2025-06-11 23:21:51",1,"2025-06-11 23:21:51",1
142,NULL,"Транспорт: Самосвалы",NULL,111,1,1,1,NULL,"2025-06-11 23:21:51",1,"2025-06-11 23:21:51",1
143,NULL,"Транспорт: Строит. техника",NULL,111,1,1,1,NULL,"2025-06-11 23:21:51",1,"2025-06-11 23:21:51",1
144,NULL,"Транспорт: Тягачи",NULL,111,1,1,1,NULL,"2025-06-11 23:21:51",1,"2025-06-11 23:21:51",1
145,NULL,"Транспорт: Экскаваторы",NULL,111,1,1,1,NULL,"2025-06-11 23:21:51",1,"2025-06-11 23:21:51",1
146,NULL,"Транспорт: Дорожная техника",NULL,111,1,1,1,NULL,"2025-06-11 23:21:51",1,"2025-06-11 23:21:51",1
147,NULL,"Транспорт: Буровые вышки",NULL,111,1,1,1,NULL,"2025-06-11 23:21:51",1,"2025-06-11 23:21:51",1
165,NULL,"Поставщик: Блок, кирпич",NULL,111,1,1,1,NULL,"2025-06-11 23:21:51",1,"2025-06-11 23:21:51",1
166,NULL,"Поставщик: ВЧШГ",NULL,111,1,1,1,NULL,"2025-06-11 23:21:51",1,"2025-06-11 23:21:51",1
167,NULL,"Поставщик: Газ",NULL,111,1,1,1,NULL,"2025-06-11 23:21:51",1,"2025-06-11 23:21:51",1
168,NULL,"Поставщик: Гидроизоляция",NULL,111,1,1,1,NULL,"2025-06-11 23:21:51",1,"2025-06-11 23:21:51",1
169,NULL,"Поставщик: Доска",NULL,111,1,1,1,NULL,"2025-06-11 23:21:51",1,"2025-06-11 23:21:51",1
170,NULL,"Поставщик: ЖБИ",NULL,111,1,1,1,NULL,"2025-06-11 23:21:51",1,"2025-06-11 23:21:51",1
171,NULL,"Поставщик: Инертные материалы",NULL,111,1,1,1,NULL,"2025-06-11 23:21:51",1,"2025-06-11 23:21:51",1
172,NULL,"Поставщик: Крепеж, метизы",NULL,111,1,1,1,NULL,"2025-06-11 23:21:51",1,"2025-06-11 23:21:51",1
173,NULL,"Поставщик: Металл, труба",NULL,111,1,1,1,NULL,"2025-06-11 23:21:51",1,"2025-06-11 23:21:51",1
174,NULL,"Поставщик: Металлоконструкции",NULL,111,1,1,1,NULL,"2025-06-11 23:21:51",1,"2025-06-11 23:21:51",1
175,NULL,"Поставщик: Общестрой",NULL,111,1,1,1,NULL,"2025-06-11 23:21:51",1,"2025-06-11 23:21:51",1
176,NULL,"Поставщик: Расходник, инструмент",NULL,111,1,1,1,NULL,"2025-06-11 23:21:51",1,"2025-06-11 23:21:51",1
177,NULL,"Поставщик: Сантехоборудование",NULL,111,1,1,1,NULL,"2025-06-11 23:21:51",1,"2025-06-11 23:21:51",1
178,NULL,"Поставщик: Сварочное оборудование",NULL,111,1,1,1,NULL,"2025-06-11 23:21:51",1,"2025-06-11 23:21:51",1
179,NULL,"Поставщик: Такеллаж",NULL,111,1,1,1,NULL,"2025-06-11 23:21:51",1,"2025-06-11 23:21:51",1
180,NULL,"Поставщик: Цемент, праймер",NULL,111,1,1,1,NULL,"2025-06-11 23:21:51",1,"2025-06-11 23:21:51",1
181,NULL,"Поставщик: Электрика",NULL,111,1,1,1,NULL,"2025-06-11 23:21:51",1,"2025-06-11 23:21:51",1
182,NULL,"Инженерные изыскания",NULL,111,1,1,1,NULL,"2025-06-11 23:21:51",1,"2025-06-11 23:21:51",1
183,NULL,Снабжение/Закупщик,NULL,111,1,1,1,NULL,"2025-06-11 23:21:51",1,"2025-06-11 23:21:51",1
184,NULL,"не показывать в информере Договоры за последние 7 дней",NULL,151,1,1,0,NULL,"2025-06-11 23:21:51",1,"2025-06-11 23:21:51",1
187,driver,Водитель,NULL,121,1,1,0,NULL,"2025-06-11 23:21:51",1,"2025-06-11 23:21:51",1
188,dispatcher,Диспетчер,NULL,121,1,1,0,NULL,"2025-06-11 23:21:51",1,"2025-06-11 23:21:51",1
189,NULL,"поставки НЕ ОГРАНИЧЕНЫ собственным товаром в выбранном месте продажи",NULL,111,1,1,1,NULL,"2025-06-11 23:21:51",1,"2025-06-11 23:21:51",1
190,NULL,"Можно снижать товарный запас < 0",NULL,105,1,1,0,NULL,"2025-06-11 23:21:51",1,"2025-06-11 23:21:51",1
191,NULL,"Поставщик: Топливо",NULL,111,1,1,1,NULL,"2025-06-11 23:21:51",1,"2025-06-11 23:21:51",1
192,official_job,"Официальное трудоустройство",NULL,121,1,1,0,NULL,"2025-11-02 00:40:37",1,"2025-11-02 00:40:37",1
