id,sysobjid,code,name,descript,ordr,css,active,prevstage_code,nextstage_code,cnclstage_code,created_at,created_by,updated_at,updated_by
1,870,1,черновик,NULL,1,"background-color: silver;",1,NULL,2,NULL,"2020-12-17 10:13:45",1,"2020-12-17 10:13:45",1
2,870,2,"согласование технолога",NULL,2,"background-color: lightyellow;",1,1,10,1,"2020-12-17 10:13:45",1,"2020-12-17 10:13:45",1
3,870,3,утверждение,NULL,5,"background-color: #d2fd95;",1,4,5,1,"2020-12-17 10:13:45",1,"2020-12-17 10:13:45",1
4,870,4,"выбор бюджета",NULL,4,"background-color: #e6bef5;",1,10,3,NULL,"2020-12-17 10:13:45",1,"2020-12-17 10:13:45",1
5,870,5,"обработка (закуп)",NULL,6,NULL,1,3,11,NULL,"2020-12-17 10:13:45",1,"2020-12-17 10:13:45",1
6,870,6,"заказ поставщику",NULL,999,NULL,0,NULL,NULL,NULL,"2020-12-17 10:13:45",1,"2020-12-17 10:13:45",1
7,870,7,получен,NULL,999,NULL,0,NULL,NULL,NULL,"2020-12-17 10:13:45",1,"2020-12-17 10:13:45",1
8,870,8,"передан заказчику",NULL,999,"background-color: silver;",0,NULL,NULL,NULL,"2020-12-17 10:13:45",1,"2020-12-17 10:13:45",1
9,870,9,"отработано (архив)",NULL,8,"background-color: #5e7ea2;",1,NULL,NULL,5,"2020-12-17 10:13:45",1,"2020-12-17 10:13:45",1
10,870,10,"оценка стоимости",NULL,3,"background-color: #f5ebbe;",1,2,4,NULL,"2020-12-17 10:13:45",1,"2020-12-17 10:13:45",1
11,870,11,"подведение итогов",NULL,7,"background-color: #e9d3fd;",1,5,9,NULL,"2020-12-17 10:13:45",1,"2020-12-17 10:13:45",1
