id,ownorgid,orgacntid,inituserid,docdate,restbegsum,plnpaysum,aprvpaysum,restendsum,notes,active,locked,created_at,created_by,updated_at,updated_by
2,6,NULL,NULL,2020-08-27,383620.57,NULL,NULL,NULL,NULL,1,0,"2020-08-27 04:55:35",33,"2020-08-31 08:26:59",25
3,6,NULL,33,2020-09-25,386751.32,NULL,NULL,NULL,NULL,1,0,"2020-08-27 23:32:39",33,"2020-09-25 06:02:30",33
4,6,NULL,NULL,2020-09-10,686568.26,NULL,NULL,NULL,NULL,1,0,"2020-08-28 00:20:51",33,"2020-09-09 22:49:50",33
5,6,NULL,NULL,2020-08-28,509905.47,NULL,NULL,NULL,NULL,1,0,"2020-08-28 01:01:17",33,"2020-08-28 01:53:39",42
6,6,NULL,NULL,2020-09-09,729573.26,NULL,NULL,NULL,NULL,1,0,"2020-08-28 01:30:11",33,"2020-09-08 22:37:00",33
7,6,NULL,NULL,2020-09-02,50851.80,NULL,NULL,NULL,NULL,1,0,"2020-08-31 03:51:36",33,"2020-09-01 22:37:25",33
8,6,NULL,33,2020-09-30,1833020.75,NULL,NULL,NULL,NULL,1,0,"2020-08-31 03:54:18",33,"2020-09-30 05:30:24",33
9,6,NULL,NULL,2020-08-31,66942.80,NULL,NULL,NULL,NULL,1,0,"2020-08-31 03:57:05",33,"2020-08-31 03:57:05",33
10,6,NULL,NULL,2020-09-01,50851.80,NULL,NULL,NULL,NULL,1,0,"2020-08-31 06:44:19",42,"2020-09-01 23:57:13",33
11,7,NULL,NULL,2020-09-07,2727.06,NULL,NULL,NULL,NULL,1,0,"2020-09-01 23:09:41",53,"2020-09-06 22:26:02",53
12,7,NULL,NULL,2020-09-03,1969.88,NULL,NULL,NULL,NULL,1,0,"2020-09-03 04:38:53",53,"2020-09-03 04:38:53",53
13,7,NULL,NULL,2020-09-04,369.88,NULL,NULL,NULL,NULL,1,0,"2020-09-03 22:24:30",53,"2020-09-03 22:24:30",53
14,6,NULL,NULL,2020-09-04,39047.14,NULL,NULL,NULL,NULL,1,0,"2020-09-04 00:25:59",33,"2020-09-04 00:25:59",33
15,6,NULL,NULL,2020-09-07,310574.58,NULL,NULL,NULL,NULL,1,0,"2020-09-06 22:33:25",33,"2020-09-07 03:55:55",33
16,6,NULL,NULL,2020-09-08,134617.42,NULL,NULL,NULL,NULL,1,0,"2020-09-07 22:19:08",33,"2020-09-07 22:19:43",33
17,7,NULL,NULL,2020-09-08,2727.06,NULL,NULL,NULL,NULL,1,0,"2020-09-07 22:20:31",53,"2020-09-07 22:20:31",53
19,6,NULL,33,2020-09-11,436129.50,NULL,NULL,NULL,NULL,1,0,"2020-09-08 00:21:53",33,"2020-09-10 23:16:48",33
20,7,NULL,53,2020-09-14,129811.51,NULL,NULL,NULL,NULL,1,0,"2020-09-08 04:37:02",53,"2020-09-13 22:15:14",53
21,7,NULL,NULL,2020-09-09,2727.06,NULL,NULL,NULL,NULL,1,0,"2020-09-08 22:11:49",53,"2020-09-08 22:11:49",53
