id,name,descript,ordr,invoice_drctpay,active,created_at,created_by,updated_at,updated_by
1,ЗП,NULL,999999,1,1,"2021-02-09 14:30:05",1,"2021-02-09 14:30:05",1
2,Налоги,NULL,999999,1,1,"2021-02-09 14:30:05",1,"2021-02-09 14:30:05",1
3,Аренда,NULL,999999,1,1,"2021-02-09 14:30:05",1,"2021-02-09 14:30:05",1
4,"Коммунальные платежи",NULL,999999,1,1,"2021-02-09 14:30:05",1,"2021-02-09 14:30:05",1
5,"Связь, Интернет",NULL,999999,1,1,"2021-02-09 14:30:05",1,"2021-02-09 14:30:05",1
6,"Кредиты, %, лизинг",NULL,999999,1,1,"2021-02-09 14:30:05",1,"2021-02-09 14:30:05",1
7,Материалы,NULL,999999,0,1,"2021-02-09 14:30:05",1,"2021-02-09 14:30:05",1
8,Транспорт,NULL,999999,1,1,"2021-02-09 14:30:05",1,"2021-02-09 14:30:05",1
9,Услуги,NULL,999999,1,1,"2021-02-09 14:30:05",1,"2021-02-09 14:30:05",1
10,СМР,NULL,999999,1,1,"2021-02-09 14:30:05",1,"2021-02-09 14:30:05",1
11,"Материал для реализации",NULL,999999,1,1,"2021-02-19 14:38:14",1,"2021-02-19 14:38:14",1
