id,name,valtype,valsrctype,valsrcdef,valmaxlen,nvalmin,nvalmax,needrightid,active,created_at,created_by,updated_at,updated_by
21,"Формат отображения позиций в каталоге",N,LST,1|строка;2|карточка,1,1,2,NULL,1,"2020-02-28 20:50:24",1,"2020-02-28 20:50:24",1
22,"Тест - дата",D,USR,NULL,8,NULL,NULL,NULL,1,"2020-02-28 20:50:24",1,"2020-02-28 20:50:24",1
23,"Тест - строка",C,USR,NULL,5,NULL,NULL,NULL,1,"2020-02-28 20:50:24",1,"2020-02-28 20:50:24",1
31,"Товар считается новинкой в течение N дней после начала продаж",N,USR,NULL,3,1,999,NULL,1,"2020-02-28 20:50:24",1,"2020-02-28 20:50:24",1
32,"В каталоге можно указать заказываемое количество",N,LST,1|да;0|нет,1,0,1,NULL,1,"2020-02-28 20:50:24",1,"2020-02-28 20:50:24",1
33,"Активировать товар по наличию позиции в 1С",N,LST,0|нет;1|да,1,0,1,NULL,1,"2020-02-28 20:50:24",1,"2020-02-28 20:50:24",1
34,"Получать уведомление о входе в ЛК курируемого пользователя",N,LST,0|нет;1|да,1,0,1,NULL,1,"2020-03-07 10:09:13",1,"2020-03-07 10:09:13",1
201,"Материалы Заказчика",C,USR,NULL,100,NULL,NULL,NULL,1,"2020-02-28 20:50:24",1,"2020-02-28 20:50:24",1
202,"Стоимость материалов заказчика",N,USR,NULL,NULL,0,NULL,NULL,1,"2020-02-28 20:50:24",1,"2020-02-28 20:50:24",1
203,"Оплата заказа безналом",C,USR,NULL,10,NULL,NULL,NULL,1,"2020-02-28 20:50:24",1,"2020-02-28 20:50:24",1
204,"Оплатить со счета клиента",C,USR,NULL,10,NULL,NULL,NULL,1,"2020-02-28 20:50:24",1,"2020-02-28 20:50:24",1
205,"Контакт по заказу",C,USR,NULL,NULL,NULL,NULL,NULL,1,"2020-02-28 20:50:24",1,"2020-02-28 20:50:24",1
206,"Должность контакта по заказу",C,USR,NULL,NULL,NULL,NULL,NULL,1,"2020-02-28 20:50:24",1,"2020-02-28 20:50:24",1
207,"Информация о клиенте",C,USR,NULL,NULL,NULL,NULL,NULL,1,"2020-02-28 20:50:24",1,"2020-02-28 20:50:24",1
208,"Версия заказа",C,USR,NULL,NULL,NULL,NULL,NULL,1,"2020-02-28 20:50:24",1,"2020-02-28 20:50:24",1
209,"Номер предыдущего заказа",C,USR,NULL,NULL,NULL,NULL,NULL,1,"2020-02-28 20:50:24",1,"2020-02-28 20:50:24",1
210,"Путь к файлам макета",C,USR,NULL,NULL,NULL,NULL,NULL,1,"2020-02-28 20:50:24",1,"2020-02-28 20:50:24",1
211,"ID предыдущего заказа",N,USR,NULL,NULL,NULL,NULL,NULL,1,"2020-02-28 20:50:24",1,"2020-02-28 20:50:24",1
