id,parid,name,descript,use_buildobjs,ordr,active,created_at,created_by,updated_at,updated_by
1,NULL,Строительство,NULL,0,999999,1,"2020-08-24 00:00:15",1,"2020-08-24 00:00:15",1
2,NULL,"Присоединение сетей",NULL,0,999999,1,"2020-08-24 00:00:15",1,"2020-08-24 00:00:15",1
3,NULL,"Эксплуатация сетей",NULL,0,999999,1,"2020-08-24 00:00:15",1,"2020-08-24 00:00:15",1
4,NULL,"Технический заказчик",NULL,0,999999,1,"2020-08-24 00:00:15",1,"2020-08-24 00:00:15",1
7,NULL,"Информационные технологии",NULL,0,999999,1,"2020-08-24 00:00:15",1,"2020-08-24 00:00:15",1
9,NULL,"- разное -",NULL,0,999999,1,"2020-08-24 00:00:15",1,"2020-08-24 00:00:15",1
10,NULL,"Управление инвест. проектами в строительстве",NULL,0,999999,1,"2020-08-24 05:20:09",1,"2020-08-24 05:20:09",1
11,NULL,Проектирование,NULL,0,999999,1,"2020-08-24 05:20:09",1,"2020-08-24 05:20:09",1
12,NULL,"Исходно-разрешительная документация",NULL,0,999999,1,"2020-08-24 05:25:50",1,"2020-08-24 05:25:50",1
13,NULL,"Планирование в строительстве",NULL,0,999999,1,"2020-08-24 05:25:50",1,"2020-08-24 05:25:50",1
14,NULL,"О финансах",NULL,0,999999,1,"2020-08-24 05:25:50",1,"2020-08-24 05:25:50",1
15,NULL,"Риски (Андеррайтинг)",NULL,0,999999,1,"2020-08-24 05:25:50",1,"2020-08-24 05:25:50",1
