id,parent_id,code,partnumber,name,producttypeid,qty_dec_digits,costprice,retailprice,price,unittypeid,unit,grossweight,salebegdate,saleenddate,active,manufacturer,brandid,brand,descript,photourl,procstatus_id,itmtypeid,altname,searchname,ordr,created_at,created_by,updated_at,updated_by
1,NULL,NULL,NULL,"Арматура А1 Ф6",2,NULL,NULL,NULL,NULL,10,т,NULL,2020-10-27,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,110,NULL,NULL,999999999,"2020-10-30 15:40:03",1,"2020-10-30 16:58:37",12
2,NULL,NULL,NULL,"Арматура А1 Ф10",NULL,0,NULL,NULL,NULL,10,т,NULL,2020-10-27,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,110,NULL,NULL,999999999,"2020-10-30 15:40:03",1,"2020-10-30 15:40:03",1
3,NULL,NULL,NULL,"Арматура А240 Ф6",NULL,0,NULL,NULL,NULL,9,кг,NULL,2020-10-27,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,110,NULL,NULL,999999999,"2020-10-30 15:40:03",1,"2020-10-30 15:40:03",1
4,NULL,NULL,NULL,"Арматура А3 Ф10",2,NULL,NULL,NULL,NULL,10,т,NULL,2020-10-27,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,110,NULL,NULL,999999999,"2020-10-30 15:40:03",1,"2020-10-30 16:58:42",12
5,NULL,NULL,NULL,"Арматура А3 Ф12",NULL,0,NULL,NULL,NULL,10,т,NULL,2020-10-27,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,110,NULL,NULL,999999999,"2020-10-30 15:40:03",1,"2020-10-30 15:40:03",1
6,NULL,NULL,NULL,"Арматура А3 Ф14",2,NULL,NULL,NULL,NULL,10,т,NULL,2020-10-27,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,110,NULL,NULL,999999999,"2020-10-30 15:40:03",1,"2020-10-30 16:58:47",12
7,NULL,NULL,NULL,"Арматура А3 Ф16",2,NULL,NULL,NULL,NULL,10,т,NULL,2020-10-27,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,110,NULL,NULL,999999999,"2020-10-30 15:40:03",1,"2020-10-30 16:58:52",12
8,NULL,NULL,NULL,"Арматура А3 Ф18",2,NULL,NULL,NULL,NULL,10,т,NULL,2020-10-27,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,110,NULL,NULL,999999999,"2020-10-30 15:40:03",1,"2020-10-30 16:58:56",12
9,NULL,NULL,NULL,"Арматура А3 Ф20",2,NULL,NULL,NULL,NULL,10,т,NULL,2020-10-27,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,110,NULL,NULL,999999999,"2020-10-30 15:40:03",1,"2020-10-30 16:59:00",12
10,NULL,NULL,NULL,"Арматура А3 Ф22",NULL,0,NULL,NULL,NULL,10,т,NULL,2020-10-27,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,110,NULL,NULL,999999999,"2020-10-30 15:40:03",1,"2020-10-30 15:40:03",1
11,NULL,NULL,NULL,"Арматура А3 Ф25",NULL,0,NULL,NULL,NULL,10,т,NULL,2020-10-27,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,110,NULL,NULL,999999999,"2020-10-30 15:40:03",1,"2020-10-30 15:40:03",1
12,NULL,NULL,NULL,"Арматура А3 Ф28",NULL,0,NULL,NULL,NULL,10,т,NULL,2020-10-27,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,110,NULL,NULL,999999999,"2020-10-30 15:40:03",1,"2020-10-30 15:40:03",1
13,NULL,NULL,NULL,"Арматура А3 Ф32",NULL,0,NULL,NULL,NULL,10,т,NULL,2020-10-27,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,110,NULL,NULL,999999999,"2020-10-30 15:40:03",1,"2020-10-30 15:40:03",1
14,NULL,NULL,NULL,"Арматура А400 Ф12",NULL,0,NULL,NULL,NULL,9,кг,NULL,2020-10-27,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,110,NULL,NULL,999999999,"2020-10-30 15:40:03",1,"2020-10-30 15:40:03",1
15,NULL,NULL,NULL,"Арматура А400 Ф20",NULL,0,NULL,NULL,NULL,9,кг,NULL,2020-10-27,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,110,NULL,NULL,999999999,"2020-10-30 15:40:03",1,"2020-10-30 15:40:03",1
16,NULL,NULL,NULL,"Бетон В7,5",2,NULL,NULL,NULL,NULL,8,шт,NULL,2020-06-19,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,106,NULL,NULL,999999999,"2020-10-30 10:03:05",12,"2020-10-30 10:03:05",12
17,NULL,NULL,NULL,"Бетон В15",2,NULL,NULL,NULL,NULL,8,шт,NULL,2020-06-19,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,106,NULL,NULL,999999999,"2020-10-30 10:03:39",12,"2020-10-30 10:03:39",12
18,NULL,NULL,NULL,"Бетон В25",2,NULL,NULL,NULL,NULL,8,шт,NULL,2020-06-19,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,106,NULL,NULL,999999999,"2020-10-30 10:04:03",12,"2020-10-30 10:04:03",12
19,NULL,NULL,NULL,"Бетон В30",2,NULL,NULL,NULL,NULL,8,шт,NULL,2020-06-19,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,106,NULL,NULL,999999999,"2020-10-30 10:04:28",12,"2020-10-30 10:04:28",12
20,NULL,NULL,NULL,"Кирпич полнотелый М125",2,NULL,NULL,NULL,NULL,1,шт,NULL,2020-06-19,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,101,NULL,NULL,999999999,"2020-10-30 10:06:32",12,"2020-10-30 10:07:14",12
21,NULL,NULL,NULL,"Кирпич М150",2,NULL,NULL,NULL,NULL,1,шт,NULL,2020-06-19,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,101,NULL,NULL,999999999,"2020-10-30 10:06:46",12,"2020-10-30 10:07:07",12
22,NULL,NULL,NULL,"Анкер М8*65",2,NULL,NULL,NULL,NULL,1,шт,NULL,2020-06-19,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,999999999,"2020-11-01 22:22:17",12,"2020-11-12 10:39:05",12
23,NULL,NULL,NULL,"Грунтовка ГФ-021",2,NULL,NULL,NULL,NULL,11,шт,NULL,2020-06-19,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,111,NULL,NULL,999999999,"2020-11-01 22:28:35",12,"2020-11-12 22:26:33",12
24,NULL,NULL,NULL,"Гайка М30",2,NULL,NULL,NULL,55.93,1,шт,NULL,2020-06-19,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,108,NULL,NULL,999999999,"2020-11-01 22:34:17",12,"2020-12-02 03:15:05",12
25,NULL,NULL,NULL,"Заглушка чугунная З- 50 ГОСТ 694298",2,NULL,NULL,NULL,NULL,1,шт,NULL,2020-06-19,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,999999999,"2020-11-01 22:38:19",12,"2020-11-01 22:38:19",12
