id,src_placeid,src_placename,tgt_placeid,tgt_placename,begdate,enddate,points,active,created_at,created_by,updated_at,updated_by
1,NULL,ЗОЛООТВАЛ,NULL,ПАТРОКЛ,2024-01-01,NULL,1.180,1,"2025-04-12 00:23:31",1,"2025-04-12 00:23:31",1
2,NULL,"КОНТЕЙНЕРНЫЙ ТЕРМИНАЛ",NULL,ПАТРОКЛ,2024-01-01,NULL,3.330,1,"2025-04-12 00:23:31",1,"2025-04-12 00:23:31",1
3,NULL,"КОНТЕЙНЕРНЫЙ ТЕРМИНАЛ",NULL,НЕЙБУТА,2024-01-01,NULL,1.330,1,"2025-04-12 00:23:31",1,"2025-04-12 00:23:31",1
4,NULL,"КОНТЕЙНЕРНЫЙ ТЕРМИНАЛ",NULL,БОРИСЕНКО,2024-01-01,NULL,1.330,1,"2025-04-12 00:23:31",1,"2025-04-12 00:23:31",1
5,NULL,"КОНТЕЙНЕРНЫЙ ТЕРМИНАЛ",NULL,"БАСАРГИНА ПАРКОВКА",2024-01-01,NULL,3.330,1,"2025-04-12 00:23:31",1,"2025-04-12 00:23:31",1
6,NULL,ЗОЛООТВАЛ,NULL,"БАСАРГИНА ПАРКОВКА",2024-01-01,NULL,1.180,1,"2025-04-12 00:23:31",1,"2025-04-12 00:23:31",1
7,NULL,"КОНТЕЙНЕРНЫЙ ТЕРМИНАЛ",NULL,КИЗЛЯРСКАЯ,2024-01-01,NULL,1.430,1,"2025-04-12 00:23:31",1,"2025-04-12 00:23:31",1
8,NULL,ВБЩЗ,NULL,ПАТРОКЛ,2024-01-01,NULL,1.250,1,"2025-04-12 00:23:31",1,"2025-04-12 00:23:31",1
9,NULL,"КОНТЕЙНЕРНЫЙ ТЕРМИНАЛ",NULL,ТОР,2024-01-01,NULL,1.250,1,"2025-04-12 00:23:31",1,"2025-04-12 00:23:31",1
10,NULL,"КОНТЕЙНЕРНЫЙ ТЕРМИНАЛ",NULL,БЕЖЕЦКАЯ,2024-01-01,NULL,1.430,1,"2025-04-12 00:23:31",1,"2025-04-12 00:23:31",1
11,NULL,"КОНТЕЙНЕРНЫЙ ТЕРМИНАЛ",NULL,КРЫЛОВА,2024-01-01,NULL,1.330,1,"2025-04-12 00:23:31",1,"2025-04-12 00:23:31",1
12,NULL,ЗОЛООТВАЛ,NULL,БАСАРГИНА,2024-01-01,NULL,1.180,1,"2025-04-12 00:23:31",1,"2025-04-12 00:23:31",1
13,NULL,ТОР,NULL,РУССКАЯ,2024-01-01,NULL,1.430,1,"2025-04-12 00:23:31",1,"2025-04-12 00:23:31",1
14,NULL,"КОНТЕЙНЕРНЫЙ ТЕРМИНАЛ",NULL,"РЫБНЫЙ ПОРТ",2024-01-01,NULL,1.430,1,"2025-04-12 00:23:31",1,"2025-04-12 00:23:31",1
