id,srs_id,wrktypeid,min_wrkexp,max_wrkexp,hr_day_rate,hr_night_rate,hr_aux_rate,created_at,created_by,updated_at,updated_by
1,1,1,0.0,2.0,400.00,500.00,100.00,"2023-06-10 05:35:44",1,"2023-06-10 05:35:44",1
2,1,1,2.0,4.0,450.00,550.00,100.00,"2023-06-10 05:35:44",1,"2023-06-10 05:35:44",1
3,1,1,4.0,99.9,500.00,600.00,100.00,"2023-06-10 05:35:44",1,"2023-06-10 05:35:44",1
4,1,2,0.0,2.0,500.00,600.00,0.00,"2023-06-16 10:44:33",1,"2023-06-16 10:44:33",1
5,1,2,2.0,4.0,550.00,650.00,0.00,"2023-06-16 10:44:33",1,"2023-06-16 10:44:33",1
6,1,2,4.0,99.9,600.00,700.00,0.00,"2023-06-16 10:44:33",1,"2023-06-16 10:44:33",1
7,1,11,0.0,99.9,0.00,0.00,0.00,"2023-06-16 10:46:32",1,"2023-06-16 10:46:32",1
8,1,12,0.0,99.9,150.00,150.00,0.00,"2023-06-16 10:46:32",1,"2023-06-16 10:46:32",1
9,1,13,0.0,99.9,200.00,200.00,0.00,"2023-06-16 10:46:32",1,"2023-06-16 10:46:32",1
10,1,21,0.0,99.9,0.00,0.00,0.00,"2023-06-16 10:46:32",1,"2023-06-16 10:46:32",1
11,1,22,0.0,99.9,0.00,0.00,0.00,"2023-06-16 10:46:32",1,"2023-06-16 10:46:32",1
