id,parid,code,name,active,ordr,model_class,acl_sysobjid,acl_sysobjcode,created_at,created_by,updated_at,updated_by
1,NULL,private_room,"Личный кабинет клиента",1,100,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
2,NULL,SysObjs,"системные объекты (sysObjs)",0,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
3,NULL,Users,"Справочник пользователей (Users)",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
4,2,SysFuncs,"системные функции/права (sysFuncs)",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
5,2,SysRoles,"типы системных ролей пользователей (sysRoles)",0,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
6,6,sysRoleFuncs,"состав прав системных ролей (sysRoleFuncs)",0,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
7,NULL,usrSysRoles,"роли пользователей (usrSysRoles)",0,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
8,NULL,usrSysRights,"права пользователей (usrSysRights)",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
9,NULL,FlagTypes,"Типы флагов (FlagTypes)",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
10,NULL,objflags,"состояние/флаги объектов (objFlags)",1,999999,objflag,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
11,NULL,objfiles,"файлы, связанные с объектами",1,999999,objfile,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
12,NULL,SysActions,"Действия, обработки",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
13,NULL,PrefTypes,"Типы преференций (PrefTypes)",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
14,NULL,ObjPrefs,"Префернеции пользователей/клиентов/... (ObjPrefs)",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
15,NULL,Pages,Страницы,1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
21,NULL,ImportFiles,"Файлы с внешними данными",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
31,NULL,ExtSystems,"Внешние системы",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
32,NULL,ObjExtIds,"Идентификаторы объектов во внешних системах",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
33,NULL,extsys_sysobjs,"Получатели данных из внешних систем",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
34,NULL,usrsysright_orgs,"Ограничения прав по субъектам организаций",1,8,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
99,NULL,paytypes,"Типы платежей",1,99,paytype,NULL,NULL,"2021-10-29 05:17:54",1,"2021-10-29 05:17:54",1
100,NULL,producttypes,"Виды номенклатуры (услуга, товар, ...)",0,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
101,105,ItmTypes,"Справочник категорий товаров (ItmTypes)",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
102,101,ItmSubTypes,"Справочник подкатегорий товаров (ItmSubTypes)",0,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
103,105,SpecInfoTypes,"Справочник спец-характеристик товаров (SpecInfoTypes)",0,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
104,105,Brands,"Товарные бренды",0,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
105,NULL,refitems,"Справочник товаров (номенклатура)",1,999999,refitem,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
106,NULL,Catalog,"Каталог товаров",0,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
107,NULL,SaleActions,"Акции по продаже товаров",0,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
108,NULL,SA_Items,"Список товаров, участвующих в акции",0,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
109,NULL,places,Места,1,109,place,NULL,org,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
111,NULL,Orgs,"Справочник контрагентов (Orgs)",1,200,org,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
112,111,OrgDogs,"Договоры с контрагентами (OrgDogs)",1,210,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
113,NULL,OrgExtIDs,"Идентификаторы организации во внешних системах",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
114,111,org_saldos,"Сальдо операций с контрагентом",0,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
115,111,org_acnts,"расчетные счета организации",1,115,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
116,111,org_places,"Офисы (организации)",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
117,111,orgacntperiods,"Учетные периоды организации",1,117,orgacntperiod,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
118,111,orgdeps,"Подразделения организации",1,118,orgdep,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
119,118,orgposts,"Должности организации/подразделения",1,119,orgpost,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
121,111,orgstaff,"Справочник сотрудников (Staff)",1,999999,orgstaff,NULL,orgstaff,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
122,111,org_curators,"Кураторы клиентов",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
123,111,OrgItmDiscounts,"Скидки для клиента на товар (orgItmDiscounts)",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
124,NULL,TaxSystems,"Системы налогообложения юр-лиц",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
125,111,OrgTaxSys,"Система налогообложения организации (с историей)",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
126,NULL,UserOrgs,"Представляемые пользователем организации",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
127,111,org_MngrBonuses,"% вознаграждения менеджера за продажи клиенту",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
128,NULL,user_assistants,Помощники,1,128,user_assistant,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
131,NULL,Orders,"Заказ клиента (Orders)",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
132,NULL,OrdItems,"состав заказа клиента (OrdItems)",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
133,NULL,OrdStaff,"Работники по заказу (ordStaff)",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
134,NULL,OrdScanLst,"Данные сверки состава заказа, полученные с ТСД",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
135,NULL,OrdPays,"Платежи заказа",0,9999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
139,NULL,Basket,"Корзина заказа",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
141,105,ri_AltNames,"Альтернативные названия позиций прайслиста",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
142,105,ri_SpecInfo,"Специфические характеристика позиций прайслиста",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
143,105,ri_options,"Опции/варианты номенклатуры",0,9999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
144,105,ri_units,"Допустимые ЕИ, и их соотношение",0,9999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
145,105,ri_estprices,"Предложения поставщиков",1,9999,ri_estprice,105,refitems,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
146,105,ri_org_prices,"Цены поставщиков",1,146,ri_org_price,NULL,refitems,"2021-11-28 04:34:27",1,"2021-11-28 04:34:27",1
151,NULL,contracts,"Договоры с контрагентами",1,151,contract,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
152,151,contract_orgs,"Участники договора",1,152,NULL,NULL,contracts,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
153,151,contract_prices,"Цены контракта на номенклатуру ",1,153,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
154,151,contract_exes,"Исполнение контракта",1,154,contract_exe,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
155,151,contract_workplans,"Планы производства работ по контракту",1,155,contract_workplan,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
156,151,contract_reviews,"Согласования договора",1,156,contract_review,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
157,156,contrrev_users,"Участники листа согласования",1,157,contrrev_user,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
158,NULL,regnum_srcs,"Источники номеров регистрации для договоров",1,151,regnum_src,NULL,contracts,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
201,NULL,Stock,"Учет склада",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
202,NULL,wrhs,"Справочник складов (wrhs)",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
203,NULL,wrhdoctypes,"Типы документов складского учета (wrhDocTypes",0,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
204,NULL,wrhdocs,"Документы складского учета (wrhDocs)",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
205,NULL,wrhdoclst,"состав документов складского учета",1,999999,NULL,204,wrhdocs,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
206,NULL,wrh_stocks,"Текущий товарный запас складов",0,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
208,NULL,org_wrhs,"Склады, обслуживающие клиента",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
209,NULL,wrhdocnums,"Форматы и текущие значения номеров документов по владельцам",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
210,202,wrh_boxes,"Группы материалов для склада",1,1,wrh_box,NULL,wrhs,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
221,NULL,Delivery,"Модуль Доставка",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
301,NULL,unittypes,"Справочник Единиц измерения ",1,999999,unittype,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
400,NULL,FiscalSys,"Фискальная подсистема",0,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
402,NULL,PayForms,"Справочник форм оплаты",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
404,NULL,VATRates,"Справочник ставок НДС",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
406,NULL,FiscalDocTypes,"Справочник типов фискальных документов",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
408,NULL,KKT_Types,"Типы кассовых аппаратов",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
422,NULL,FR_Servers,"Серверы обслуживания ККТ",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
424,NULL,Cash_Boxes,"Кассовые рабочие места",0,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
