id,parid,code,name,active,ordr,created_at,created_by,updated_at,updated_by
1,NULL,private_room,"Личный кабинет клиента",1,100,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
2,NULL,SysObjs,"системные объекты (sysObjs)",0,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
3,NULL,Users,"Справочник пользователей (Users)",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
4,2,SysFuncs,"системные функции/права (sysFuncs)",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
5,2,SysRoles,"типы системных ролей пользователей (sysRoles)",0,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
6,6,sysRoleFuncs,"состав прав системных ролей (sysRoleFuncs)",0,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
7,NULL,usrSysRoles,"роли пользователей (usrSysRoles)",0,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
8,NULL,usrSysRights,"права пользователей (usrSysRights)",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
9,NULL,FlagTypes,"Типы флагов (FlagTypes)",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
10,NULL,objFlags,"состояние/флаги объектов (objFlags)",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
11,NULL,ObjFiles,"файлы, связанные с объектами",0,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
12,NULL,SysActions,"Действия, обработки",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
13,NULL,PrefTypes,"Типы преференций (PrefTypes)",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
14,NULL,ObjPrefs,"Префернеции пользователей/клиентов/... (ObjPrefs)",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
15,NULL,Pages,Страницы,1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
21,NULL,ImportFiles,"Файлы с внешними данными",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
31,NULL,ExtSystems,"Внешние системы",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
32,NULL,ObjExtIds,"Идентификаторы объектов во внешних системах",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
33,NULL,extsys_sysobjs,"Получатели данных из внешних систем",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
100,NULL,producttypes,"Виды номенклатуры (услуга, товар, ...)",0,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
101,105,ItmTypes,"Справочник категорий товаров (ItmTypes)",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
102,101,ItmSubTypes,"Справочник подкатегорий товаров (ItmSubTypes)",0,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
103,105,SpecInfoTypes,"Справочник спец-характеристик товаров (SpecInfoTypes)",0,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
104,105,Brands,"Товарные бренды",0,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
105,NULL,RefItems,"Справочник товаров (RefItems)",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
106,NULL,Catalog,"Каталог товаров",0,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
107,NULL,SaleActions,"Акции по продаже товаров",0,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
108,NULL,SA_Items,"Список товаров, участвующих в акции",0,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
111,NULL,Orgs,"Справочник контрагентов (Orgs)",1,200,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
112,111,OrgDogs,"Договоры с контрагентами (OrgDogs)",1,210,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
113,NULL,OrgExtIDs,"Идентификаторы организации во внешних системах",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
114,111,org_saldos,"Сальдо операций с контрагентом",0,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
115,111,org_acnts,"расчетные счета организации",1,115,"2020-08-25 03:06:22",1,"2020-08-25 03:06:22",1
116,111,org_places,"Офисы (организации)",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
121,111,OrgStaff,"Справочник сотрудников (Staff)",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
122,111,org_curators,"Кураторы клиентов",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
123,111,OrgItmDiscounts,"Скидки для клиента на товар (orgItmDiscounts)",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
124,NULL,TaxSystems,"Системы налогообложения юр-лиц",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
125,111,OrgTaxSys,"Система налогообложения организации (с историей)",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
126,NULL,UserOrgs,"Представляемые пользователем организации",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
127,111,org_MngrBonuses,"% вознаграждения менеджера за продажи клиенту",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
131,NULL,Orders,"Заказ клиента (Orders)",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
132,NULL,OrdItems,"состав заказа клиента (OrdItems)",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
133,NULL,OrdStaff,"Работники по заказу (ordStaff)",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
134,NULL,OrdScanLst,"Данные сверки состава заказа, полученные с ТСД",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
135,NULL,OrdPays,"Платежи заказа",0,9999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
139,NULL,Basket,"Корзина заказа",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
141,105,ri_AltNames,"Альтернативные названия позиций прайслиста",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
142,105,ri_SpecInfo,"Специфические характеристика позиций прайслиста",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
143,105,ri_options,"Опции/варианты номенклатуры",0,9999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
144,105,ri_units,"Допустимые ЕИ, и их соотношение",0,9999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
151,NULL,contracts,"Договоры с контрагентами",1,991,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
