id,srctbl,srcfld,tgttbl,tgtfld,fltcond,active,created_at,created_by,updated_at,updated_by
1,refitems,id,bot_ri_lims,refitmid,NULL,0,"2022-01-18 09:44:05",1,"2022-01-18 09:44:05",1
2,refitems,id,equiprqst_items,refitmid,NULL,0,"2022-01-18 09:44:05",1,"2022-01-18 09:44:05",1
3,refitems,id,new_bot_ri_lims,refitmid,NULL,0,"2022-01-18 09:44:05",1,"2022-01-18 09:44:05",1
4,refitems,id,ri_units,refitmid,NULL,1,"2022-01-18 09:44:05",1,"2022-01-18 09:44:05",1
5,refitems,id,ri_itmtypes,refitmid,NULL,1,"2022-01-18 09:44:05",1,"2022-01-18 09:44:05",1
6,refitems,id,eritm_offers,refitmid,NULL,0,"2022-01-18 09:44:05",1,"2022-01-18 09:44:05",1
7,refitems,id,cwp_work_equips,refitmid,NULL,0,"2022-01-18 09:44:05",1,"2022-01-18 09:44:05",1
8,refitems,id,objfiles,objid,sysobjid=105,1,"2022-01-18 09:44:05",1,"2022-01-18 09:44:05",1
9,refitems,id,obj_names,objid,sysobjid=105,1,"2022-01-18 09:44:05",1,"2022-01-18 09:44:05",1
10,refitems,id,obj_msgs,objid,sysobjid=105,1,"2022-01-18 09:44:05",1,"2022-01-18 09:44:05",1
11,refitems,id,obj_readers,objid,sysobjid=105,1,"2022-01-18 09:44:05",1,"2022-01-18 09:44:05",1
12,refitems,id,obj_links,objid,sysobjid=105,1,"2022-01-18 09:44:05",1,"2022-01-18 09:44:05",1
13,refitems,id,obj_links,lnkobjid,lnksysobjid=105,1,"2022-01-18 09:44:05",1,"2022-01-18 09:44:05",1
14,refitems,id,objextids,objid,sysobjid=105,1,"2022-01-18 09:44:05",1,"2022-01-18 09:44:05",1
15,refitems,id,objlogs,objid,sysobjid=105,1,"2022-01-18 09:44:05",1,"2022-01-18 09:44:05",1
16,refitems,id,objprefs,objid,sysobjid=105,1,"2022-01-18 09:44:05",1,"2022-01-18 09:44:05",1
17,refitems,id,objtags,objid,sysobjid=105,1,"2022-01-18 09:44:05",1,"2022-01-18 09:44:05",1
18,refitems,id,equiprqst_items,lim_refitmid,NULL,0,"2022-01-18 09:44:05",1,"2022-01-18 09:44:05",1
19,orgs,id,orgacntperiods,ownorgid,NULL,1,"2022-01-18 09:44:05",1,"2022-01-18 09:44:05",1
20,orgs,id,userorgs,orgid,NULL,1,"2022-01-18 09:44:05",1,"2022-01-18 09:44:05",1
21,orgs,id,org_extservices,orgid,NULL,1,"2022-01-18 09:44:05",1,"2022-01-18 09:44:05",1
22,orgs,id,org_extservices,srvcorgid,NULL,1,"2022-01-18 09:44:05",1,"2022-01-18 09:44:05",1
23,org_extservices,id,extsrvc_sums,srvcid,NULL,1,"2022-01-18 09:44:05",1,"2022-01-18 09:44:05",1
24,baseworktypes,id,buildopertypes,baseworktrypeid,NULL,1,"2022-01-18 09:44:05",1,"2022-01-18 09:44:05",1
25,refitems,id,invoice_items,refitmid,NULL,1,"2022-01-18 09:44:05",1,"2022-01-18 09:44:05",1
26,prodplans,id,prodplan_items,docid,NULL,1,"2022-01-18 09:44:05",1,"2022-01-18 09:44:05",1
