id,translittypeid,src,tgt,active,created_at,created_by,updated_at,updated_by
1,NULL,a,а,1,"2019-05-16 11:32:54",1,"2019-05-16 11:32:54",1
2,NULL,b,б,1,"2019-05-16 11:32:54",1,"2019-05-16 11:32:54",1
3,NULL,v,в,1,"2019-05-16 11:32:54",1,"2019-05-16 11:32:54",1
4,NULL,g,г,1,"2019-05-16 11:32:54",1,"2019-05-16 11:32:54",1
5,NULL,d,д,1,"2019-05-16 11:32:54",1,"2019-05-16 11:32:54",1
6,NULL,z,з,1,"2019-05-16 11:34:43",1,"2019-05-16 11:34:43",1
7,NULL,s,с,1,"2019-05-16 11:35:35",1,"2019-05-16 11:35:35",1
8,NULL,f,ф,1,"2019-05-16 11:35:35",1,"2019-05-16 11:35:35",1
9,NULL,h,х,1,"2019-05-16 11:35:35",1,"2019-05-16 11:35:35",1
10,NULL,u,у,1,"2019-05-16 11:35:35",1,"2019-05-16 11:35:35",1
11,NULL,i,и,1,"2019-05-16 11:35:35",1,"2019-05-16 11:35:35",1
12,NULL,k,к,1,"2019-05-16 11:36:44",1,"2019-05-16 11:36:44",1
13,NULL,l,л,1,"2019-05-16 11:36:44",1,"2019-05-16 11:36:44",1
14,NULL,m,м,1,"2019-05-16 11:36:44",1,"2019-05-16 11:36:44",1
15,NULL,n,н,1,"2019-05-16 11:36:44",1,"2019-05-16 11:36:44",1
16,NULL,o,о,1,"2019-05-16 11:36:44",1,"2019-05-16 11:36:44",1
17,NULL,t,т,1,"2019-05-16 11:36:44",1,"2019-05-16 11:36:44",1
18,NULL,r,р,1,"2019-05-16 11:37:39",1,"2019-05-16 11:37:39",1
19,NULL,sh,ш,1,"2019-05-16 11:38:45",1,"2019-05-16 11:38:45",1
20,NULL,ch,ч,1,"2019-05-16 11:38:45",1,"2019-05-16 11:38:45",1
21,NULL,sshch,щ,1,"2019-05-16 11:39:07",1,"2019-05-16 11:39:07",1
22,1,ike,айк,1,"2019-05-16 11:39:53",1,"2019-05-16 11:39:53",1
23,1,ine,айн,1,"2019-05-16 11:39:53",1,"2019-05-16 11:39:53",1
24,3,dragon,дракон,1,"2019-05-16 11:40:26",1,"2019-05-16 11:40:26",1
25,NULL,w,в,1,"2019-05-16 11:40:39",1,"2019-05-16 11:40:39",1
26,1,oi,ой,1,"2019-05-16 11:42:01",1,"2019-05-16 11:42:01",1
27,1,ex,экс,1,"2019-05-16 11:43:04",1,"2019-05-16 11:43:04",1
28,NULL,io,ё,1,"2019-05-16 11:43:04",1,"2019-05-16 11:43:04",1
29,NULL,zh,ж,1,"2019-05-16 11:43:04",1,"2019-05-16 11:43:04",1
30,NULL,yu,ю,1,"2019-05-16 11:43:53",1,"2019-05-16 11:43:53",1
31,NULL,ya,я,1,"2019-05-16 11:43:53",1,"2019-05-16 11:43:53",1
32,1,lith,лит,1,"2019-05-16 11:45:22",1,"2019-05-16 11:45:22",1
33,2,cycle,цикл,1,"2019-05-16 11:45:22",1,"2019-05-16 11:45:22",1
34,1,cycle,сайкл,1,"2019-05-16 11:45:22",1,"2019-05-16 11:45:22",1
35,2,chev,шев,1,"2019-05-16 11:46:21",1,"2019-05-16 11:46:21",1
36,1,duty,дьюти,1,"2019-05-16 12:15:41",1,"2019-05-16 12:15:41",1
37,NULL,p,п,1,"2019-05-16 12:23:24",1,"2019-05-16 12:23:24",1
38,NULL,j,дж,1,"2019-05-16 12:26:46",1,"2019-05-16 12:26:46",1
39,NULL,ic,ик,1,"2019-05-16 12:28:09",1,"2019-05-16 12:28:09",1
40,1,qua,кво,1,"2019-05-16 12:30:17",1,"2019-05-16 12:30:17",1
41,1,hyb,гиб,1,"2019-05-16 12:31:52",1,"2019-05-16 12:31:52",1
42,1,cool,кул,1,"2019-05-16 12:33:42",1,"2019-05-16 12:33:42",1
43,1,lex,лекс,1,"2019-05-16 12:34:08",1,"2019-05-16 12:34:08",1
44,1,diesel,дизель,1,"2019-05-16 12:35:18",1,"2019-05-16 12:35:18",1
45,1,snow,сноу,1,"2019-05-16 12:38:52",1,"2019-05-16 12:38:52",1
46,1,clean,клин,1,"2019-05-16 12:38:52",1,"2019-05-16 12:38:52",1
47,NULL,q,кью,1,"2019-05-16 12:40:01",1,"2019-05-16 12:40:01",1
48,1,c,ц,1,"2019-05-16 12:40:25",1,"2019-05-16 12:40:25",1
49,1,craft,крафт,1,"2019-05-16 12:46:48",1,"2019-05-16 12:46:48",1
50,1,racing,рэйсинг,1,"2019-05-16 12:47:34",1,"2019-05-16 12:47:34",1
51,1,cone,кон,1,"2019-05-16 12:49:09",1,"2019-05-16 12:49:09",1
52,1,lity,лити,1,"2019-05-16 12:50:01",1,"2019-05-16 12:50:01",1
53,1,x,икс,1,"2019-05-16 12:50:26",1,"2019-05-16 12:50:26",1
54,1,tech,тек,1,"2019-05-16 12:51:36",1,"2019-05-16 12:51:36",1
55,1,syn,син,1,"2019-05-16 12:51:36",1,"2019-05-17 09:02:48",3
56,1,multi,мульти,1,"2019-05-16 12:53:27",1,"2019-05-16 12:53:27",1
57,1,synth,синт,1,"2019-05-16 12:54:07",1,"2019-05-16 12:54:07",1
58,1,right,райт,1,"2019-05-16 12:57:12",1,"2019-05-16 12:57:12",1
59,2,com,ком,1,"2019-05-16 12:57:12",1,"2019-05-16 12:57:12",1
60,1,ease,из,1,"2019-05-16 13:00:05",1,"2019-05-16 13:00:05",1
61,1,ray,рэй,1,"2019-05-16 13:01:11",1,"2019-05-16 13:01:11",1
62,1,ride,райд,1,"2019-05-16 13:03:00",1,"2019-05-16 13:03:00",1
63,1,oo,у,1,"2019-05-16 13:03:00",1,"2019-05-17 08:42:34",3
64,NULL,ea,и,1,"2019-05-16 13:04:48",1,"2019-05-16 13:04:48",1
65,1,rey,рей,1,"2019-05-16 13:05:10",1,"2019-05-16 13:05:10",1
66,1,lack,лэк,1,"2019-05-16 13:06:44",1,"2019-05-16 13:06:44",1
67,1,ox,окс,1,"2019-05-16 13:07:39",1,"2019-05-16 13:07:39",1
68,1,lade,лэйд,1,"2019-05-16 13:08:56",1,"2019-05-16 13:08:56",1
69,1,clear,клир,1,"2019-05-16 13:10:33",1,"2019-05-16 13:10:33",1
70,1,priora,приора,1,"2019-05-16 13:11:48",1,"2019-05-17 08:32:20",3
71,1,oly,оли,1,"2019-05-16 13:12:37",1,"2019-05-16 13:12:37",1
72,1,rider,райдер,1,"2019-05-16 13:15:15",1,"2019-05-16 13:15:15",1
73,1,ify,айф,1,"2019-05-16 13:16:38",1,"2019-05-16 13:16:38",1
74,1,queen,квин,1,"2019-05-16 13:17:18",1,"2019-05-16 13:17:18",1
75,1,cus,кус,1,"2019-05-16 13:18:33",1,"2019-05-16 13:18:33",1
76,NULL,yo,ё,1,"2019-05-16 13:20:22",1,"2019-05-16 13:20:22",1
77,1,blue,блю,1,"2019-05-16 13:22:01",1,"2019-05-16 13:22:01",1
78,1,renault,рено,1,"2019-05-19 02:46:08",1,"2019-05-19 02:46:08",1
79,2,dragon,дракон,1,"2019-05-19 02:57:23",3,"2019-05-19 02:57:33",3
80,1,a/h,ампер/час,1,"2019-05-19 03:42:17",3,"2019-05-19 03:42:17",3
81,NULL,e,е,1,"2019-05-19 09:41:42",1,"2019-05-19 09:41:42",1
